Name,Year,Target,shear_200_850,shear_500_850,shear_200_500,shear_300_800,shear_850_1000,RH_avg,SST_avg,ROCI,v_0,Lat,RMW
KENNA,2002,1,18.145338640289307,11.405343685836792,12.813048071136476,14.69188028038025,5.541011597824097,90.41492462158205,28.914422607421898,150.0,35.0,11.9,30.76812269840401
ELIDA,2002,1,26.942689515838623,11.943828052825928,19.212193094482423,20.05616263534546,8.468746156158447,88.49231719970703,28.7050720214844,270.0,30.0,11.6,72.40204874063002
LILI,2002,1,25.946698049011232,10.285714602966308,23.840030379486084,17.275004494018553,14.441514779891968,86.45816040039062,28.632012939453148,100.0,90.0,22.4,7.2791838962749305
DOUGLAS,2002,1,25.30967638641357,13.726526405563355,20.12489005630493,23.904473691101074,6.903965485687256,87.9451675415039,29.240380859375023,120.0,55.0,16.1,15.404663137238295
KYLE,2002,0,29.919266813659668,9.675425523147585,28.23437721694946,18.75868554718017,10.476779206085205,71.55233001708984,27.427117919921898,200.0,65.0,28.6,27.247365151216815
CRISTOBAL,2002,0,35.99030022583008,16.74251065032959,26.12797463943481,30.98428416168213,6.542901825332642,71.97035217285156,28.75032958984372,150.0,40.0,29.4,33.056330108117194
OLAF,2003,0,29.8700301437378,16.74392323852539,17.92354190185547,23.36586419326782,10.028186983718872,86.88752746582031,28.375665283203148,100.0,55.0,15.5,12.31253310133953
HENRI,2003,0,26.013377031707765,14.516516354064942,19.79796116333008,23.59658322433472,4.443019028244018,78.22623443603516,29.044519042968773,150.0,35.0,27.7,37.09964090675898
ISABEL,2003,1,29.37623602600097,14.635637210083008,23.016780652618408,22.489507082366945,8.938197226791383,80.96885681152344,27.36348876953128,185.0,35.0,13.7,40.830894014095584
BILL,2003,0,22.491334919586183,13.59002070426941,23.24150267211914,11.274591222686768,8.854794275054932,76.12444305419922,28.824578857421898,130.0,45.0,25.9,23.62729535002915
FABIAN,2003,1,25.00820744918824,11.598536440200805,23.1099299067688,16.265380253448487,6.68607653717041,80.20823669433594,27.61397705078128,120.0,50.0,15.5,17.00612845954648
CLAUDETTE,2003,0,35.143707571716305,14.014689763031006,26.89023095840454,27.900707942504884,10.781699900817872,68.66321563720703,28.88692626953128,180.0,65.0,27.8,23.698934284349637
ERIKA,2003,0,29.74541279953003,17.688959571838378,23.805555441589355,26.75119854095459,8.164169339523315,71.76844787597656,29.494287109375023,138.0,55.0,26.0,20.39196922086304
ODETTE,2003,0,34.40833491943359,31.24650279724121,28.138093203430177,31.51155031677246,8.590919277877807,79.36014556884766,28.452783203125023,150.0,50.0,14.3,21.91232115298834
JIMENA,2003,0,22.03652786529541,11.356009691925047,19.071727697143555,14.66814064201355,9.26428264518738,83.89588165283203,26.014459228515648,150.0,85.0,17.3,12.092542151145334
KATE,2003,0,31.4046793069458,9.75629156288147,24.718435928649903,19.78930952407837,12.182433107757568,76.2037353515625,26.666802978515648,180.0,100.0,30.1,13.078896752179837
